0,8.0,3.381480139388027,1.2813521794096139,2.047259312100073,0.4995535827351571,1.341477882371874,0.5825161755487915,266.7428970336914,358.8003234863281,224.80628967285156,249.1504669189453,41.2652839218981,7.0,0.0,7.0,21.215465006837288,1.829093939489294
1,3.0,4.156205974770758,1.4996158127830732,1.6948599673588478,1.3043716582072986,1.6948599673588478,0.2761169313751294,226.84437561035156,316.1330261230469,174.94798278808594,189.45211791992188,63.41366738469092,2.0,2.0,4.0,288.0852962616751,474.527800967194
2,8.0,3.2856340840258076,0.656625864013534,1.6722597855880634,0.16549678024577424,0.5519009661909563,0.5492296123191923,456.2930603027344,665.1397094726562,156.8068084716797,529.926025390625,176.31148926517776,7.0,0.0,7.0,47.934605294237656,18.088949715835994
3,11.0,3.0106741033874815,0.5497358879194226,0.9350644938734337,0.09858403653785293,0.7038662026546113,0.3335823735138314,267.3757213245739,322.1600036621094,196.97569274902344,268.6787109375,38.043180752044776,10.0,1.0,11.0,7.184838736611159,105.58980129789384
4,12.0,3.505380777942992,0.903017404260456,1.3260425157232152,0.5318805614594985,0.8190335383936026,0.29858302970369405,507.8637008666992,720.7807006835938,329.3070373535156,556.0769653320312,117.80290077357891,11.0,0.0,11.0,300.2247696882691,404.9894999747224
5,72.0,3.554281584483366,0.7063308657495895,2.1080275408285463,0.08694316758889242,0.7224853545217977,0.4088685425644739,336.133238474528,583.4503173828125,196.3714141845703,323.7912902832031,69.20330487857697,71.0,2.0,73.0,461.7885610813555,328.34551044982345
6,5.0,3.951259798150153,1.1918786473410887,2.6189852166705987,0.42625132075541844,0.9931694976648964,0.9791935199678422,255.67250366210936,345.38153076171875,159.5906219482422,262.6182861328125,75.22529409043673,4.0,2.0,6.0,222.5933232571246,235.17304977474296
7,4.0,4.950804709433815,1.8315016413152938,2.6192024318260985,0.5336387992146835,2.3416636929050996,1.1325161833632091,209.4909439086914,244.58132934570312,154.82492065429688,230.64500427246094,34.16758308754438,3.0,0.0,3.0,31.35957877157098,213.2743571241187
8,4.0,5.117511958936984,2.267550539837158,2.729070451067338,1.4767805144586883,2.5968006539854485,0.6880128992851954,170.69495010375977,219.98463439941406,150.74053955078125,156.30825805664062,28.539833922298243,3.0,2.0,5.0,151.79958745076863,216.29857074179267
9,5.0,2.8086084368304216,0.5820418198739223,0.8050821136069213,0.3517052200594051,0.6873963829107078,0.2029096084076131,679.0568481445313,808.1128540039062,560.3347778320312,682.4560546875,89.9976514728297,4.0,0.0,4.0,204.924487029907,218.95791340146053
10,11.0,3.508113754544333,0.5596494544781039,1.1777590626350423,0.23762319070525967,0.5622744358101561,0.2966825612874917,399.9626437100497,539.3522338867188,303.4281921386719,392.05859375,59.03295220469193,10.0,0.0,10.0,165.51677009044286,221.81407097099282
11,10.0,3.0284664280446334,1.1505978948338036,2.2695404618806747,0.6244924884555921,1.1119240332422926,0.5235155904700375,577.0219818115235,817.84765625,326.8056335449219,599.3037109375,190.7431085161178,9.0,1.0,10.0,93.22570552911313,184.83812090727383
12,3.0,3.1951225317320002,0.7688814725061894,1.3353880575787254,0.2023748874336536,1.3353880575787254,0.8011612957832479,173.28460693359375,192.6652374267578,154.479736328125,172.70884704589844,15.594480821210029,2.0,1.0,3.0,434.4102825544153,167.07556705980016
13,5.0,3.9631448240279115,1.5019849360711406,2.8227831848226916,0.32659987700769966,1.7588666805796758,1.0573343047048025,251.35402221679686,337.2626037597656,179.00103759765625,223.5718536376953,61.05540266361869,4.0,0.0,4.0,183.0976021442328,429.4806507640421
14,3.0,3.6302684004406203,0.22968098071403997,0.3217389672029485,0.13762299422513147,0.3217389672029485,0.13018965301737354,270.9664611816406,342.45257568359375,202.44134521484375,268.0054626464844,57.19767943187471,2.0,0.0,2.0,281.1289068775893,274.9542297470916
15,3.0,4.115877110083901,0.7196190200755348,1.2403182216975015,0.19891981845356813,1.2403182216975015,0.736379872850628,284.17942810058594,332.54168701171875,234.8924102783203,285.10418701171875,39.87051287958514,2.0,0.0,2.0,339.74033289987756,494.70160799069095
